Year,Bonepile,Dates
2004,Barrow,9/18/2004
,Barrow,9/22/2004
,Barrow,9/26/2004
,Barrow,10/21/2004
,Barrow,10/22/2004
,Barrow,10/23/2004
,Kaktovik,9/6/2004
,Kaktovik,9/14/2004
,Cross ,9/5/2004
,Cross ,9/6/2004
,Cross ,9/14/2004
2005,Barrow,10/1/2005
,Barrow,10/2/2005
,Barrow,10/3/2005
,Barrow,10/4/2005
,Barrow,10/5/2005
,Kaktovik,9/3/2005
,Kaktovik,9/5/2005
,Kaktovik,9/14/2005
,Cross ,9/14/2005
2006,Barrow,9/25/2006
,Barrow,9/26/2006
,Barrow,9/28/2006
,Barrow,9/29/2006
,Barrow,9/30/2006
,Barrow,10/1/2006
,Barrow,10/2/2006
,Barrow,10/3/2006
,Kaktovik,9/5/2006
,Kaktovik,9/7/2006
,Kaktovik,9/16/2006
,Cross ,9/13/2006
,Cross ,9/14/2006
,Cross ,9/15/2006
,Cross ,9/18/2006
2007,Barrow,10/7/2007
,Barrow,10/8/2007
,Barrow,10/9/2007
,Barrow,10/11/2007
,Kaktovik,9/3/2007
,Kaktovik,9/10/2007
,Kaktovik,9/11/2007
,Cross ,8/31/2007
,Cross ,9/7/2007
2008,Kaktovik,9/6/2008
,Kaktovik,9/7/2008
,Kaktovik,9/13/2008
,Cross ,9/5/2008
,Cross ,9/6/2008
,Cross ,9/8/2008
,Cross ,9/9/2008
2009,Barrow,9/26/2009
,Barrow,9/27/2009
,Barrow,9/29/2009
,Barrow,9/30/2009
,Kaktovik,9/14/2009
,Kaktovik,9/26/2009
,Kaktovik,9/29/2009
,Cross ,9/11/2009
,Cross ,9/13/2009
2010,Kaktovik,9/10/2010
,Kaktovik,9/12/2010
,Kaktovik,9/20/2010
,Cross ,8/29/2010
,Cross ,8/31/2010
,Cross ,9/1/2010
2011,Kaktovik,9/5/2011
,Kaktovik,9/8/2011
,Kaktovik,9/12/2011
,Cross ,9/3/2011
,Cross ,9/5/2011
2012,Kaktovik,9/5/2012
,Kaktovik,9/20/2012
,Cross ,9/5/2012
,Cross ,9/10/2012
,Cross ,9/12/2012
2013,Barrow,9/15/2013
,Barrow,9/16/2013
,Barrow,9/22/2013
,Barrow,9/25/2013
,Barrow,9/26/2013
,Barrow,9/28/2013
,Kaktovik,8/30/2013
,Kaktovik,9/5/2013
,Kaktovik,9/12/2013
,Cross ,9/1/2013
,Cross ,9/6/2013
,Cross ,9/13/2013
,Cross ,9/14/2013
2014,Barrow,9/22/2014
,Barrow,9/25/2014
,Kaktovik,8/30/2014
,Kaktovik,8/31/2014
,Kaktovik,9/1/2014
,Cross ,8/30/2014
,Cross ,8/31/2014
,Cross ,9/6/2014
,Cross ,9/7/2014
2015,Barrow,9/25/2015
,Barrow,9/27/2015
,Barrow,9/28/2015
,Kaktovik,9/13/2015
,Kaktovik,9/22/2015
,Kaktovik,9/23/2015
,Cross ,9/2/2015
,Cross ,9/8/2015
2016,Barrow,9/20/2016
,Barrow,9/22/2016
,Barrow,9/25/2016
,Barrow,9/26/2016
,Barrow,9/27/2016
,Kaktovik,8/27/2016
,Kaktovik,9/1/2016
,Kaktovik,9/6/2016
,Cross ,8/25/2016
,Cross ,8/26/2016
,Cross ,8/27/2016
