,BearID,Population,Den_long,Den_lat,DateOfPostDenObs,Produced_coy,entrance,emergence,TimeInDen,DenningHabitat,LitterSize
pb_01734 ,2,SB,-144.974,69.9,4/15/1988,1,10/12/1987,3/23/1988,163,land,2
pb_06106 ,8,SB,-145.251,70.244,4/10/1989,1,10/20/1988,3/12/1989,143,land,2
pb_06155 ,9,SB,-134.539,69.773,4/9/1989,1,11/3/1988,3/1/1989,118,land,2
pb_06160 ,11,SB,-147.824,70.231,3/17/2000,1,11/18/1999,2/28/2000,102,land,2
pb_06160 ,11,SB,-142.587,69.657,4/25/2001,1,11/22/2000,2/9/2001,79,land,1
pb_06190 ,12,SB,-144.731,69.946,4/5/1990,0,11/20/1989,3/20/1990,120,land,NA
pb_06201 ,13,SB,-144.75,69.965,4/15/1989,1,11/7/1988,3/19/1989,132,land,2
pb_06201 ,13,SB,unknown,unknown,4/12/1987,1,10/27/1986,2/16/1987,112,land,2
pb_06201 ,13,SB,unknown,unknown,4/3/1990,1,11/7/1989,3/16/1990,129,land,2
pb_06429 ,26,SB,unknown,unknown,3/13/1990,0,11/11/1989,1/28/1990,78,land,NA
pb_06520 ,32,SB,-149.47,70.557,4/29/1999,1,12/5/1998,3/6/1999,91,land,2
pb_06524 ,34,SB,-173.926,72.429,4/1/1990,1,12/10/1989,3/30/1990,110,land,2
pb_06524 ,34,SB,-143.99,70.07,4/13/1988,1,12/1/1987,3/30/1988,120,land,1
pb_06606 ,42,SB,-144.452,69.991,3/22/1992,1,11/16/1991,3/1/1992,106,land,1
pb_06606 ,42,SB,-139.78,69.479,4/19/1989,1,10/18/1988,2/23/1989,128,land,2
pb_06700 ,46,SB,-146.664,70.472,4/8/2001,1,11/16/2000,3/23/2001,127,land,1
pb_12049 ,92,SB,-123.461,75.712,4/13/1994,0,9/12/1993,2/13/1994,154,land,NA
pb_20202 ,99,SB,-162.837,69.827,4/16/2011,1,11/7/2010,3/23/2011,136,land,2
pb_20330 ,101,SB,-146.673,70.175,3/25/2001,0,11/1/2000,2/13/2001,104,land,NA
pb_20330 ,101,SB,-146.642,70.168,4/9/2009,0,11/10/1999,3/17/2000,128,land,NA
pb_20330 ,101,SB,-144.376,69.972,3/7/2002,1,10/30/2001,2/2/2002,95,land,2
pb_20354 ,106,SB,-147.798,70.29,4/16/2009,1,11/13/2008,3/16/2009,123,land,1
pb_20413 ,108,SB,-148.144,70.311,4/28/2008,1,11/6/2007,3/8/2008,123,land,2
pb_20413 ,108,SB,-145.982,70.181,4/28/2003,1,11/5/2002,3/27/2003,142,land,2
pb_20413 ,108,SB,-145.371,70.23,3/29/2002,0,11/29/2001,2/2/2002,65,land,NA
pb_20419 ,109,SB,-135.528,69.367,4/19/1998,1,12/4/1997,3/16/1998,102,land,2
pb_20446 ,111,SB,-149.489,70.553,10/15/2008,0,11/7/2007,2/11/2008,96,land,NA
pb_20446 ,111,SB,-146.012,70.186,5/15/2009,1,10/18/2008,3/1/2009,134,land,1
pb_20479 ,115,SB,-149.58,70.555,4/27/2009,1,12/7/2008,3/18/2009,101,land,2
pb_20488 ,118,SB,-141.383,69.27,3/30/2001,1,10/31/2000,3/10/2001,130,land,2
pb_20502 ,119,SB,-146.374,69.938,4/7/2000,1,11/13/1999,3/8/2000,116,land,1
pb_20526 ,122,SB,-145.823,70.117,3/20/2002,0,11/1/2001,1/21/2002,81,land,NA
pb_20564 ,126,SB,-149.14,70.51,4/6/2002,1,10/20/2001,3/13/2002,144,land,2
pb_20598 ,128,SB,-147.251,70.21,3/30/2002,0,11/15/2001,2/23/2002,100,land,NA
pb_20598 ,128,SB,-146.856,70.147,4/1/2003,0,11/16/2002,3/23/2003,127,land,NA
pb_20598 ,128,SB,-135.486,69.598,4/17/2004,1,11/7/2003,3/14/2004,128,land,2
pb_20735 ,132,SB,-137.024,68.888,5/15/2009,1,10/26/2008,3/25/2009,150,land,2
pb_20764 ,136,SB,-149.278,70.531,5/1/2009,1,12/22/2008,4/5/2009,104,land,1
pb_20951 ,140,SB,-155.705,79.833,5/15/2009,0,10/29/2008,2/16/2009,110,land,NA
pb_21237 ,159,SB,-155.103,71.13,4/3/2012,1,11/10/2011,3/11/2012,122,land,1
pb_21238 ,160,SB,-150.885,70.466,4/3/2012,1,11/30/2011,3/13/2012,104,land,2
pb_21264 ,162,SB,-145.665,70.06,4/12/2012,1,11/5/2011,3/24/2012,140,land,1
pb_32214 ,169,SB,-142.091,69.785,5/17/2009,0,11/3/2008,1/9/2009,67,land,NA
pb_32257 ,172,SB,-154.979,70.861,4/29/2009,1,10/31/2008,3/23/2009,143,land,1
